valid_loss,valid_accuracy,epoch,step,train_loss,train_accuracy_epoch,train_accuracy_step,test_loss,test_accuracy
0.356319397687912,0.8769999742507935,0,44,,,,,
,,0,44,0.4926277697086334,0.814956545829773,,,
,,1,49,,,0.900390625,,
0.2971521019935608,0.8865000009536743,1,89,,,,,
,,1,89,0.275626540184021,0.9079565405845642,,,
,,2,99,,,0.9453125,,
0.28299352526664734,0.8899999856948853,2,134,,,,,
,,2,134,0.2125578224658966,0.9267391562461853,,,
,,3,149,,,0.943359375,,
0.27741771936416626,0.8955000042915344,3,179,,,,,
,,3,179,0.1781683713197708,0.9389130473136902,,,
,,4,199,,,0.953125,,
0.29030701518058777,0.8930000066757202,4,224,,,,,
,,4,224,0.15661530196666718,0.9471304416656494,,,
,,5,249,,,0.966796875,,
0.2945667803287506,0.8920000195503235,5,269,,,,,
,,5,269,0.13633020222187042,0.9545217156410217,,,
,,6,299,,,0.962890625,,
0.30747345089912415,0.8895000219345093,6,314,,,,,
,,6,314,0.12056464701890945,0.9606956243515015,,,
,,7,349,,,0.96484375,,
0.3265911042690277,0.8880000114440918,7,359,,,,,
,,7,359,0.1064702644944191,0.9672608971595764,,,
,,8,399,,,0.970703125,,
0.3445351719856262,0.8855000138282776,8,404,,,,,
,,8,404,0.09420926123857498,0.9716521501541138,,,
,,9,449,,,0.9661017060279846,,
0.36242425441741943,0.8880000114440918,9,449,,,,,
,,9,449,0.08310315757989883,0.9751738905906677,,,
0.38872143626213074,0.8859999775886536,10,494,,,,,
,,10,494,0.07277735322713852,0.9789999723434448,,,
,,11,499,,,0.98828125,,
0.41435182094573975,0.8790000081062317,11,539,,,,,
,,11,539,0.06298172473907471,0.9834782481193542,,,
,,12,549,,,0.986328125,,
0.4355311393737793,0.8790000081062317,12,584,,,,,
,,12,584,0.05326741188764572,0.9876086711883545,,,
,,13,599,,,0.9921875,,
0.46327364444732666,0.875,13,629,,,,,
,,13,629,0.045944441109895706,0.9900000095367432,,,
,,14,649,,,0.9921875,,
0.4896041750907898,0.8725000023841858,14,674,,,,,
,,14,674,0.03900734707713127,0.9921739101409912,,,
,,15,699,,,0.99609375,,
0.5177549123764038,0.8744999766349792,15,719,,,,,
,,15,719,0.03519792482256889,0.9929565191268921,,,
,,16,749,,,0.99609375,,
0.5439526438713074,0.8709999918937683,16,764,,,,,
,,16,764,0.02687203511595726,0.9957391023635864,,,
,,17,799,,,1.0,,
0.5812022089958191,0.8705000281333923,17,809,,,,,
,,17,809,0.022130656987428665,0.9967391490936279,,,
,,18,849,,,0.99609375,,
0.6059246063232422,0.8694999814033508,18,854,,,,,
,,18,854,0.018516888841986656,0.9975652098655701,,,
,,19,899,,,0.9957627058029175,,
0.6328234076499939,0.8675000071525574,19,899,,,,,
,,19,899,0.014435214921832085,0.9980869293212891,,,
0.6772975325584412,0.8629999756813049,20,944,,,,,
,,20,944,0.011544073931872845,0.9987391233444214,,,
,,21,949,,,0.998046875,,
0.6977046132087708,0.8654999732971191,21,989,,,,,
,,21,989,0.008886314928531647,0.998913049697876,,,
,,22,999,,,0.998046875,,
0.7316785454750061,0.8629999756813049,22,1034,,,,,
,,22,1034,0.006470102816820145,0.9993478059768677,,,
,,23,1049,,,1.0,,
0.7726292610168457,0.8634999990463257,23,1079,,,,,
,,23,1079,0.004787798970937729,0.9996086955070496,,,
,,24,1099,,,0.998046875,,
0.8102177977561951,0.8615000247955322,24,1124,,,,,
,,24,1124,0.0034651525784283876,0.9996956586837769,,,
,,25,1149,,,1.0,,
0.8570467233657837,0.8615000247955322,25,1169,,,,,
,,25,1169,0.002543496200814843,0.9998695850372314,,,
,,26,1199,,,1.0,,
0.8969553112983704,0.8615000247955322,26,1214,,,,,
,,26,1214,0.0018766616703942418,1.0,,,
,,27,1249,,,1.0,,
0.9385614395141602,0.859499990940094,27,1259,,,,,
,,27,1259,0.0013606252614408731,1.0,,,
,,28,1299,,,1.0,,
0.9798387289047241,0.8604999780654907,28,1304,,,,,
,,28,1304,0.0010001607006415725,1.0,,,
,,29,1349,,,1.0,,
1.0222501754760742,0.8604999780654907,29,1349,,,,,
,,29,1349,0.0007537046330980957,1.0,,,
,,30,1350,,,,1.0529289245605469,0.8522800207138062
